food,Protein,Fat,Carbohydrates,Dietary Fiber,Vitamin A,Vitamin C,Vitamin D,Zinc,Iron,Calcium,Selenium
beef brisket raw,83.6,86.5,0.0,0.0,0.0,0.0,0.0,16.8,7.7,27.2,0.033
beef broth powder,0.6,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.03,2.2,0.032
beef broth soup,2.7,0.5,0.01,0.0,0.0,0.0,0.0,0.0,0.4,14.4,0.023
beef diced asda,0.0,0.7,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef empanada,10.1,16.3,27.8,1.8,0.0,0.0,0.0,1.7,2.4,17.8,0.037
beef flank steak cooked,51.8,17.5,0.0,0.0,0.0,0.0,0.0,9.0,3.4,33.8,0.073
beef flank steak raw,6.0,2.3,0.0,0.0,0.0,0.0,0.097,1.1,0.4,7.6,0.076
beef flavored rice cooked,7.0,7.9,54.4,1.5,0.0,0.0,0.0,1.0,2.2,24.7,0.063
beef flavored rice raw,19.8,2.3,139.1,2.9,0.0,0.0,0.0,2.5,5.2,58.6,0.068
beef gravy,8.7,5.5,11.2,0.9,0.079,0.0,0.0,2.3,1.6,14.0,0.085
beef gravy instant,0.7,0.6,4.1,0.3,0.1,0.01,0.0,0.082,0.4,9.4,0.049
beef heart cooked,8.1,1.3,0.057,0.0,0.016,0.048,0.0,0.015,0.2,0.038,62.0
beef jerky,6.6,5.1,2.2,0.4,0.0,0.0,0.022,1.6,1.1,4.0,0.046
beef kidneys cooked,7.7,1.3,0.0,0.0,0.0,0.0,0.095,0.8,1.6,5.4,0.049
beef liver cooked,19.8,3.6,3.5,0.0,0.2,0.7,1.3,0.023,9.7,0.07,239.4
beef luncheon meat jellied,5.3,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8,0.032
beef lungs cooked,61.8,11.2,0.0,0.0,0.095,99.1,0.0,5.0,16.4,33.3,0.2
beef meat canned,9.2,7.9,0.0,0.0,0.0,0.0,0.0,2.2,1.0,4.5,0.055
beef mince meat asda,0.0,3.1,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef mushroom soup,14.0,7.3,15.9,0.6,0.0,0.0,0.0,3.4,2.1,12.2,0.0
beef noodle soup,9.6,6.2,17.9,1.5,0.037,0.8,0.0,3.1,2.2,30.0,0.063
beef pancreas cooked,60.2,38.2,0.0,0.0,0.0,45.1,0.0,10.2,5.8,35.5,0.1
beef plate steak grilled,47.1,35.6,0.0,0.0,1.7,0.8,0.0,0.088,0.4,0.047,487.2
beef plate steak raw,47.8,46.8,0.9,0.0,0.071,0.0,0.008,12.6,9.1,16.0,0.048
beef pork bologna,4.6,7.4,1.6,0.0,0.078,0.2,0.045,0.7,0.4,25.5,0.093
beef rib raw,73.8,123.8,0.0,0.0,0.0,0.0,0.0,17.0,7.8,36.3,0.067
beef rib roasted,15.4,19.1,0.0,0.0,0.0,0.0,0.037,3.9,1.6,6.7,0.01
beef round steak cooked,64.8,12.1,0.0,0.0,0.0,0.0,0.0,10.7,5.2,14.4,0.091
beef round steak raw,100.1,36.0,0.0,0.0,0.0,0.0,0.0,18.5,8.4,95.3,0.1
beef salami cooked,3.3,5.8,0.5,0.0,0.0,0.0,0.044,0.5,0.6,1.6,0.088
beef sandwich steak raw,9.2,15.1,0.0,0.0,0.0,0.0,0.077,2.0,1.0,6.7,0.078
beef shoulder steak grilled,24.0,5.8,0.0,0.0,0.063,0.0,0.012,6.8,2.5,10.2,0.084
beef shoulder steak raw,48.2,17.3,0.0,0.0,0.014,0.0,0.017,18.0,6.0,28.7,0.09
beef spleen cooked,77.3,12.9,0.0,0.0,0.0,154.9,0.0,8.6,121.2,37.0,0.3
beef stick,4.3,9.9,1.1,0.0,0.0,1.4,0.0,0.5,0.7,13.6,0.0
beef stock,4.7,0.2,2.9,0.0,0.0,0.0,0.0,0.4,0.6,19.2,0.019
beef tallow,0.0,12.8,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.015
beef tenderloin steak cooked,37.0,24.0,0.0,0.0,0.0,0.0,0.028,6.7,2.4,26.6,0.018
beef tenderloin steak raw,32.2,29.8,0.0,0.0,0.0,0.0,0.0,5.6,2.3,37.7,0.049
beef thymus cooked,83.2,95.2,0.0,0.0,0.0,115.1,0.0,8.4,5.7,38.1,0.029
beef tongue cooked,5.5,6.3,0.0,0.0,0.0,0.4,0.067,1.2,0.7,1.4,0.065
beef top blade cooked,21.9,10.0,0.0,0.0,0.0,0.0,0.0,7.4,2.3,6.0,0.098
beef top loin filet grilled,37.0,19.0,0.8,0.0,0.9,0.6,0.0,0.077,0.2,0.019,507.6
beef top sirloin steak cooked,47.7,25.2,0.0,0.0,0.0,0.0,0.009,8.6,3.1,35.4,0.026
beef top sirloin steak raw,123.4,77.3,0.0,0.0,0.0,0.0,0.0,21.6,9.0,145.9,0.1
beef tripe cooked,10.0,3.4,1.7,0.0,0.0,0.0,0.0,1.5,0.6,68.9,0.01
beef under blade steak cooked,140.8,46.7,0.0,0.0,1.9,1.5,0.0,0.2,0.5,0.044,1382.9
beef under blade steak raw,126.8,80.8,0.0,0.0,0.057,0.0,0.093,42.9,12.6,62.9,0.1
beef vegetable soup,8.0,2.9,15.4,3.0,0.3,9.0,0.0,1.4,1.3,45.0,0.002
beer,1.5,0.0,11.7,0.0,0.0,0.0,0.0,0.001,0.031,13.2,0.087
beer budweiser,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0
beer light,0.8,0.0,5.4,0.0,0.0,0.0,0.0,0.044,0.014,13.2,0.077
beer light budweiser,0.066,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
beet greens cooked,3.7,0.3,7.9,4.2,0.0,35.9,0.0,0.7,2.7,164.2,0.097
beet greens raw,0.8,0.078,1.6,1.4,0.0,11.4,0.0,0.1,1.0,44.5,0.039
beets canned,2.0,0.2,16.2,3.0,0.0,6.9,0.0,0.6,1.5,32.0,0.063
beets cooked,0.8,0.085,5.0,1.0,0.0,0.026,1.8,0.009,0.021,0.099,152.5
beets raw,2.2,0.2,13.0,3.8,0.0,0.026,6.7,0.096,0.1,0.079,442.0
big mac mcdonalds,25.9,32.8,44.0,3.5,0.0,0.9,0.0,4.2,4.4,254.0,0.0
big n tasty mcdonalds,24.7,31.7,38.5,3.2,0.0,4.4,0.0,4.8,4.4,150.8,0.0
big n tasty with cheese mcdonalds,27.2,36.0,39.7,3.2,0.0,4.4,0.0,5.1,4.4,224.8,0.0
biscotti abbracci mulino bianco,0.4,2.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biscuit,7.1,16.5,45.0,1.5,0.0,0.2,0.0,0.5,2.9,237.4,0.003
biscuit kentucky fried chicken,3.8,9.1,22.1,0.8,0.0,0.0,0.0,0.3,1.5,31.2,0.076
biscuit large mcdonalds,5.5,14.4,39.4,1.8,0.095,0.0,0.0,0.4,2.5,68.4,0.0
biscuit mcdonalds,4.7,12.2,33.3,1.5,0.07,0.0,0.0,0.3,2.1,57.8,0.0
biscuit with egg,17.4,25.3,35.4,0.3,0.1,0.1,0.027,1.6,2.3,149.4,0.007
biscuit with egg bacon,17.0,31.1,28.6,0.8,0.082,2.7,0.066,1.6,3.7,189.0,0.059
biscuit with egg cheese bacon,17.4,25.3,35.4,0.3,0.1,0.0,0.095,1.6,2.3,149.4,0.087
biscuit with egg ham,20.4,27.0,31.4,0.8,0.1,0.0,0.093,2.2,4.6,220.8,0.005
biscuit with egg sausage,18.0,33.6,34.1,0.3,0.071,0.0,0.047,1.5,3.1,82.6,0.002
biscuit with egg steak,17.9,28.4,21.3,0.0,0.2,0.1,0.0,2.8,5.3,137.6,0.039
biscuit with ham,13.4,18.4,43.8,0.8,0.05,0.1,0.08,1.6,2.7,160.5,0.011
biscuit with sausage,10.7,27.1,33.3,0.4,0.0,0.0,0.044,0.8,2.1,52.2,0.012
black bean soup,12.4,3.4,39.6,17.5,0.0,0.5,0.0,2.8,3.9,90.0,0.0
black beans cooked,15.2,0.9,40.8,15.0,0.0,0.0,0.0,1.9,3.6,46.4,0.004
black beans raw,41.9,2.8,121.0,30.1,0.0,0.0,0.0,7.1,9.7,238.6,0.057
black currants,1.6,0.5,17.2,0.0,0.0,202.7,0.0,0.3,1.7,61.6,0.0
black eyed cowpeas cooked,5.2,0.6,33.5,8.3,0.0,0.1,3.6,0.033,0.2,0.0,689.7
black eyed cowpeas raw,4.3,0.5,27.3,7.3,0.0,3.6,0.0,1.5,1.6,182.7,0.099
black pepper,0.2,0.006,1.5,0.6,0.0,0.073,0.0,0.009,0.001,0.045,30.6
black tea,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.081,0.088,0.0,0.0
black turtle beans cooked,15.1,0.6,45.0,15.4,0.0,0.1,0.0,0.058,0.5,0.004,801.1
black turtle beans raw,39.1,1.7,116.4,28.5,0.0,0.0,0.0,4.0,16.0,294.4,0.005
black walnut dried,1.2,3.0,0.5,0.3,0.0,0.032,0.0,0.2,0.2,3.1,0.046
blackberries frozen,1.8,0.6,23.7,7.6,0.0,4.7,0.0,0.4,1.2,43.8,0.027
blackberries raw,2.0,0.7,13.8,7.6,0.0,30.2,0.0,0.8,0.9,41.8,0.008
blackberry juice,0.8,1.5,19.5,0.3,0.0,28.3,0.0,1.0,1.2,30.0,0.093
blue cheese,6.4,8.6,0.7,0.0,0.018,0.0,0.087,0.8,0.063,158.4,0.035
blue cheese dressing,0.2,7.7,0.7,0.045,0.048,0.1,0.071,0.055,0.058,5.6,0.038
blue cheese dressing light,0.3,0.4,2.1,0.0,0.081,0.0,0.0,0.073,0.042,10.9,0.003
blue crab cooked,15.2,0.6,0.0,0.0,0.004,0.1,2.8,0.076,0.7,0.027,220.2
blue crab raw,3.8,0.2,0.018,0.0,0.069,0.6,0.0,0.7,0.2,18.7,0.07
blue mussels cooked,47.6,9.0,14.8,0.0,0.2,27.2,0.0,5.3,13.4,66.0,0.2
blue mussels raw,17.9,3.4,5.5,0.0,0.028,12.0,0.0,2.4,5.9,39.0,0.063
blueberries,1.1,0.5,21.4,3.6,0.0,0.058,14.4,0.027,0.063,0.041,114.0
blueberry muffin,2.6,9.2,30.2,0.6,0.1,0.034,0.5,0.002,0.063,0.054,69.0
blueberry pancakes,2.3,3.5,11.0,0.0,0.023,0.8,0.0,0.2,0.7,78.3,0.01
blueberry pie,4.0,17.5,49.2,0.0,0.0,1.0,0.0,0.3,1.8,10.3,0.059
bluefin tuna cooked,44.9,9.4,0.0,0.0,1.1,0.0,0.0,1.2,2.0,15.0,0.036
bluefin tuna raw,6.6,1.4,0.0,0.0,0.2,0.0,0.077,0.2,0.3,2.3,0.07
bluefish cooked,30.1,6.4,0.0,0.0,0.2,0.0,0.0,1.2,0.7,10.5,0.084
bluefish raw,30.1,6.4,0.0,0.0,0.2,0.0,0.0,1.2,0.7,10.5,0.083
borage,1.6,0.6,2.7,0.0,0.0,31.2,0.0,0.2,2.9,82.8,0.084
boston butt steak cooked,46.4,32.7,0.0,0.0,0.066,0.0,0.051,9.0,3.2,48.1,0.04
boston butt steak raw,79.0,56.1,0.0,0.0,0.051,0.0,0.028,14.0,5.1,72.6,0.1
boysenberries frozen,1.5,0.3,16.1,7.0,0.0,4.1,0.0,0.3,1.1,35.6,0.058
bran flakes,4.0,0.8,32.2,7.3,0.0,0.7,0.0,0.083,0.3,0.025,213.2
bran flakes asda,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazilnuts dried,0.7,3.3,0.6,0.4,0.0,0.024,0.0,0.2,0.1,8.0,0.035
bread crumbs,14.4,5.7,77.7,4.9,0.0,0.0,0.0,1.6,5.2,197.6,0.079
breadfruit,2.4,0.5,59.7,10.8,0.0,0.2,63.8,0.008,0.2,0.045,1078.0
breadfruit seeds,2.2,1.7,8.8,1.6,0.0,2.0,0.0,0.3,1.1,10.8,0.0
breadnut tree seeds dried,13.8,2.7,127.0,23.8,0.0,74.6,0.0,3.1,7.4,150.4,0.011
breadnut tree seeds raw,1.7,0.3,13.1,0.0,0.0,7.8,0.0,0.3,0.6,27.7,0.0
breadsticks,3.0,2.4,17.1,0.8,0.0,0.0,0.0,0.2,1.1,5.5,0.092
brick cheese,7.0,8.9,0.8,0.0,0.016,0.0,0.042,0.8,0.1,202.2,0.056
