food,Protein,Fat,Carbohydrates,Dietary Fiber,Vitamin A,Vitamin C,Vitamin D,Zinc,Iron,Calcium,Selenium
chuck eye steak raw,72.4,62.8,0.0,0.0,0.095,0.0,0.047,27.9,8.1,53.8,0.097
chum salmon canned,79.1,20.3,0.0,0.0,0.014,0.0,0.0,3.7,2.6,918.8,0.2
chum salmon cooked,79.5,14.9,0.0,0.0,0.1,0.0,0.0,1.8,2.2,43.1,0.1
chum salmon raw,0.6,0.1,0.0,0.0,0.08,0.0,0.0,0.062,0.038,0.3,0.02
chunky peanut butter,3.8,8.0,3.5,1.3,0.0,0.0,0.0,0.4,0.3,7.2,0.045
cider vinegar,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.059,0.052,1.0,0.018
cinnamon coffeecake,3.9,13.3,26.6,1.1,0.049,0.2,0.0,0.5,1.1,30.8,0.048
cinnamon ground,0.1,0.044,2.1,1.4,0.0,0.071,0.0,0.088,0.2,26.1,0.018
cinnamon raisin bagel,2.5,0.4,14.4,0.6,0.098,0.2,0.0,0.3,1.0,4.9,0.026
cinnamon toaster pastry,2.6,7.1,34.1,0.5,0.1,0.017,0.0,0.3,2.0,17.0,0.022
cisco raw,15.0,1.5,0.0,0.0,0.022,0.0,0.0,0.3,0.3,9.5,0.08
cisco smoked,4.6,3.4,0.0,0.0,0.05,0.0,0.047,0.076,0.1,7.4,0.05
citrus fruit juice,0.8,0.057,28.3,0.2,0.0,67.2,0.0,0.011,2.8,22.3,0.036
clam chowder soup,4.4,4.4,24.5,3.0,0.051,8.1,0.0,1.9,3.3,47.9,0.057
clam tomato juice,1.0,0.3,18.2,0.7,0.0,8.3,0.0,0.1,0.2,13.3,0.097
clams canned,38.8,2.5,9.4,0.0,0.2,0.0,0.063,1.3,4.3,104.0,0.089
clams fried,1.3,1.0,1.0,0.0,0.008,0.9,0.0,0.1,1.3,5.9,0.022
clams raw,33.3,2.2,8.1,0.0,0.2,0.0,0.0,1.2,3.7,88.5,0.041
claret red wine,0.1,0.0,4.4,15.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0
classique yogurt plain 2 liberte,3.3,1.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clementine,0.6,0.1,8.9,1.3,0.0,0.018,36.1,0.0,0.093,0.0,131.0
clif bar,10.0,4.0,44.5,5.0,0.0,60.0,0.0,3.0,4.5,250.2,0.048
cloud ear fungus dried,2.6,0.2,20.4,19.6,0.0,0.0,0.0,0.4,1.6,44.5,0.089
cloves ground,0.1,0.3,1.4,0.7,0.0,0.083,0.0,0.02,0.2,13.3,0.074
club soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,4.0
cocktail sauce,0.2,0.2,4.2,0.3,0.002,1.7,0.0,0.086,0.1,3.9,0.075
cocoa butter oil,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cocoa powder,0.5,0.3,5.9,0.3,0.066,0.016,0.0,0.1,0.075,9.3,0.069
cocoa powder unsweetened,1.1,0.7,3.1,1.8,0.0,0.0,0.0,0.4,0.7,6.9,0.035
coconut granola bar,1.5,9.1,15.6,1.8,0.0,0.1,0.0,0.3,0.5,11.9,0.053
coconut meat,13.2,133.0,60.5,35.7,0.0,13.1,0.0,4.4,9.6,55.6,0.056
coconut meat dried,1.9,18.3,6.7,4.6,0.0,0.4,0.0,0.6,0.9,7.4,0.041
coconut milk,0.3,3.6,0.8,0.3,0.0,0.4,0.0,0.1,0.2,2.4,0.096
coconut oil,0.0,13.6,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.029,0.0
coconut water,1.7,0.5,8.9,2.6,0.0,5.8,0.0,0.2,0.7,57.6,0.045
coconut whole coconut,0.0,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cod canned,71.0,2.7,0.0,0.0,0.046,3.1,0.066,1.8,1.5,65.5,0.1
cod cooked,41.1,1.5,0.0,0.0,0.077,1.8,0.097,1.0,0.9,25.2,0.09
cod liver fish oil,0.0,13.6,0.0,0.0,4.1,0.0,0.004,0.0,0.0,0.0,0.0
cod raw,41.1,1.5,0.0,0.0,0.045,2.3,0.083,1.0,0.9,37.0,0.096
coffee,0.3,0.069,0.0,0.0,0.0,0.0,0.0,0.039,0.051,4.7,0.0
coffee decaffeinated,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.1,4.7,0.042
coffee liqueur,0.041,0.038,13.8,0.0,0.0,0.0,0.0,0.097,0.02,0.3,0.053
coffeecake with chocolate frosting,4.5,9.7,48.4,1.8,0.041,0.015,0.0,0.4,0.5,34.2,0.034
coho salmon cooked,34.7,11.8,0.0,0.0,0.063,2.1,0.0,0.7,0.6,17.2,0.081
coho salmon raw,33.8,12.2,0.0,0.0,0.012,1.7,0.0,0.7,0.5,19.1,0.028
cola,0.1,0.07,19.1,0.0,0.0,0.0,0.0,0.038,0.012,0.0,4.0
cola coca cola,0.0,0.0,38.9,0.0,0.0,0.0,0.0,0.052,0.048,7.4,0.045
cola light coca cola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cola without caffeine coca cola,0.0,0.0,38.9,0.0,0.0,0.0,0.0,0.032,0.026,7.4,0.063
colby cheese,26.8,36.3,2.9,0.0,0.3,0.0,0.053,3.5,0.9,774.1,0.023
coleslaw,1.8,18.9,28.4,3.6,0.018,0.2,27.9,0.0,0.039,0.1,246.4
coleslaw dressing,0.1,5.3,3.8,0.024,0.032,0.0,0.057,0.062,0.01,2.2,0.091
coleslaw dressing reduced fat,0.0,3.4,6.8,0.045,0.0,0.0,0.0,0.071,0.08,6.1,0.08
collard cooked,5.1,1.4,10.7,7.6,0.0,34.6,0.0,0.4,2.1,267.9,0.062
collard raw,1.1,0.2,2.0,1.4,0.0,0.003,12.7,0.041,0.004,0.2,76.7
conch baked,33.4,1.5,2.2,0.0,0.099,0.0,0.0,2.2,1.8,124.5,0.007
congee with pork shrimp and squid plus egg,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consomme dry,2.2,0.2,1.9,0.0,0.0,0.2,0.0,0.082,0.2,12.5,0.058
cooking wine,0.028,0.0,0.3,0.0,0.0,0.0,0.0,0.085,0.1,0.4,0.079
coriander leaves dried,0.1,0.098,0.3,0.095,0.0,0.014,3.4,0.04,0.017,0.094,26.8
coriander leaves raw,0.3,0.086,0.6,0.4,0.0,4.3,0.0,0.059,0.3,10.7,0.019
coriander seeds,0.2,0.3,1.0,0.8,0.0,0.4,0.0,0.054,0.3,12.8,0.068
corn cake,0.7,0.2,7.5,0.2,0.013,0.0,0.0,0.2,0.1,1.7,0.082
corn canned,1.6,0.6,11.1,1.4,0.0,0.011,2.1,0.051,0.02,0.0,108.8
corn chips,1.9,10.0,17.2,1.2,0.021,0.073,0.0,0.042,0.021,0.068,43.2
corn chips barbecue,13.9,64.7,111.3,10.3,0.0,3.4,0.0,2.1,3.0,259.4,0.005
corn chips unsalted,5.8,29.4,50.5,3.9,0.0,1.8,0.0,0.7,1.5,109.1,0.087
corn cones,1.6,7.6,17.8,0.3,0.0,0.0,0.0,0.032,0.7,0.8,0.05
corn cooked,3.5,1.5,21.6,2.5,0.0,0.1,5.7,0.084,0.025,0.055,224.5
corn dog,6.7,9.4,21.0,0.8,0.1,0.059,0.4,0.012,0.1,0.086,97.5
corn dried,4.1,3.0,18.8,5.8,0.0,0.0,0.0,0.9,0.7,7.1,0.053
corn flakes,1.7,0.3,24.6,0.8,0.0,0.5,18.2,0.077,0.083,0.0,30.0
corn flour white,9.6,4.2,87.3,7.3,0.0,0.0,0.0,2.1,1.7,157.3,0.072
corn flour whole grain,8.1,4.5,89.9,8.5,0.0,0.0,0.0,2.0,2.8,8.2,0.045
corn flour yellow,8.1,4.5,89.9,8.5,0.0,0.0,0.0,2.0,2.8,8.2,0.012
corn granola oil,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn grits cooked,4.4,1.2,37.9,2.1,0.0,0.0,0.0,0.5,1.5,2.6,0.052
corn grits dry,0.7,0.2,7.7,0.4,0.0,0.0,0.0,0.046,0.3,0.4,0.024
corn muffin,3.9,5.5,33.7,2.2,0.01,0.0,0.0,0.4,1.9,48.8,0.041
corn on the cob with butter,4.5,3.4,31.9,0.0,0.004,6.9,0.0,0.9,0.9,4.4,0.034
corn pasta cooked,3.7,1.0,39.1,6.7,0.0,0.0,0.0,0.9,0.4,1.4,0.081
corn pasta dry,7.8,2.2,83.2,11.6,0.0,0.0,0.0,1.9,1.0,4.2,0.09
corn pudding,11.1,12.6,42.4,3.0,0.2,0.3,9.3,0.069,0.1,0.066,440.0
corn raw,4.7,1.9,26.7,2.9,0.0,0.1,9.7,0.022,0.076,0.054,386.1
corn rice,1.8,0.3,25.2,0.4,0.2,11.2,0.0,2.2,9.9,2.9,0.043
corn syrup dark,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.069,0.044,3.6,0.078
corn syrup light,0.0,0.09,16.9,0.0,0.0,0.0,0.0,0.015,0.0,2.9,0.056
corn tamale,5.8,12.0,44.3,5.3,0.0,0.0,0.0,1.0,0.9,39.8,0.075
corn tortilla,1.4,0.7,10.7,1.5,0.0,0.0,0.0,0.3,0.3,19.4,0.056
corn tostada shell,0.8,2.9,7.9,0.7,0.0,0.0,0.0,0.2,0.2,9.3,0.028
corned beef canned,5.7,3.1,0.0,0.0,0.0,0.0,0.016,0.7,0.4,2.5,0.054
corned beef cooked,3.8,4.0,0.006,0.0,0.0,0.0,0.015,1.0,0.4,1.7,0.034
corned beef hash with potatoes,20.6,24.2,21.9,2.6,0.0,2.1,0.0,3.3,2.4,44.8,0.034
corned beef raw,66.6,67.6,0.6,0.0,0.0,122.5,0.0,12.9,7.7,31.8,0.07
cornmeal white,11.2,2.7,124.7,6.1,0.0,0.0,0.0,1.0,1.7,4.7,0.03
cornmeal whole grain,9.9,4.4,93.8,8.9,0.0,0.0,0.0,2.2,4.2,7.3,0.004
cornmeal yellow,11.2,2.7,124.7,6.1,0.0,0.0,0.0,1.0,1.7,4.7,0.069
cornnuts,2.4,4.4,20.3,2.0,0.0,0.0,0.0,0.5,0.5,2.5,0.064
cornsalad,1.1,0.2,2.0,0.0,0.0,0.2,21.4,0.006,0.092,0.0,257.0
cornstarch,0.3,0.03,116.8,1.2,0.0,0.0,0.0,0.081,0.6,2.6,0.096
cottage cheese creamed,2.2,0.9,0.7,0.0,0.022,0.0,0.085,0.018,0.071,16.6,0.045
cottage cheese low fat,28.0,2.3,6.1,0.0,0.021,0.0,0.0,0.9,0.3,137.9,0.055
cottage cheese nonfat,15.0,0.4,9.7,0.0,0.093,0.0,0.0,0.7,0.2,124.7,0.063
cottage fries,0.2,0.4,1.9,0.2,0.0,0.8,0.0,0.027,0.025,0.9,0.06
cottonseed flour low fat,14.1,0.4,10.2,0.0,0.0,0.7,0.0,3.3,3.6,134.1,0.0
cottonseed kernels roasted,48.6,54.1,32.6,8.2,0.0,13.4,0.0,8.9,8.0,149.0,0.0
cottonseed oil,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
couscous cooked,6.0,0.3,36.5,2.2,0.0,0.0,0.0,0.4,0.6,12.6,0.01
couscous dry,22.1,1.1,134.0,8.7,0.0,0.0,0.0,1.4,1.9,41.5,0.0
cowpeas canned,11.4,1.3,32.7,7.9,0.0,6.5,0.0,1.7,2.3,48.0,0.061
cowpeas cooked,5.4,0.4,14.5,4.6,0.0,0.025,0.3,0.012,0.2,0.033,194.6
cowpeas raw,3.1,0.3,8.9,3.1,0.0,31.0,0.0,0.3,0.9,61.1,0.066
crab apple,0.4,0.3,21.9,0.0,0.0,8.8,0.0,0.0,0.4,19.8,0.0
crab cake,11.3,10.4,5.1,0.2,0.062,0.2,0.0,2.1,1.1,202.2,0.029
crab soup,10.4,0.8,12.5,2.4,0.0,9.3,0.0,1.9,1.9,83.0,0.049
cracked wheat bread,2.5,1.1,14.0,1.6,0.0,0.0,0.0,0.4,0.8,12.2,0.055
cracker meal,10.7,2.0,93.0,3.0,0.0,0.0,0.0,0.8,5.3,26.5,0.086
crackers,1.1,4.2,9.8,0.4,0.2,0.087,0.0,0.053,0.011,0.036,18.9
crackers whole wheat,3.0,4.0,19.5,2.9,0.0,0.0,0.0,0.7,0.9,10.1,0.073
cranberries,0.2,0.014,5.4,1.6,0.0,0.098,6.3,0.049,0.033,0.063,36.0
cranberries dried,0.053,1.6,98.8,6.8,0.0,0.2,0.0,0.1,0.6,12.0,0.09
cranberry apple juice,0.0,0.3,38.8,0.0,0.0,96.8,0.0,0.015,0.2,7.4,0.0
cranberry apricot juice,0.5,0.0,39.7,0.2,0.0,0.0,0.0,0.05,0.4,22.1,0.0
cranberry beans canned,14.4,0.7,39.3,16.4,0.0,2.1,0.0,2.2,4.0,88.4,0.079
cranberry beans cooked,16.5,0.8,43.3,17.7,0.0,0.1,0.0,0.09,0.4,0.0,685.0
cranberry beans raw,44.9,2.4,117.1,48.2,0.0,0.0,0.0,7.1,9.8,247.7,0.041
cranberry grape juice,0.5,0.2,34.3,0.2,0.0,78.4,0.0,0.055,0.04,19.6,0.0
cranberry juice,0.8,0.3,24.4,0.2,0.0,0.1,18.6,0.036,0.1,0.099,154.0
cranberry orange relish,0.8,0.3,127.1,0.0,0.0,49.5,0.0,0.0,0.6,30.3,0.0
cranberry sauce sweetened,0.6,0.4,107.8,2.8,0.0,5.5,0.0,0.1,0.6,11.1,0.025
crayfish cooked,5.0,0.4,0.0,0.0,0.094,0.1,0.0,0.4,0.3,14.4,0.047
crayfish raw,0.6,0.048,0.0,0.0,0.098,0.078,0.0,0.009,0.053,1.0,0.093
cream cheese,0.9,5.0,0.8,0.0,0.2,0.004,0.0,0.039,0.082,0.008,19.1
cream cheese fat free,2.8,0.2,1.4,0.0,0.063,0.0,0.0,0.3,0.053,63.2,0.013
cream cheese low fat,1.2,2.3,1.2,0.0,0.016,0.0,0.036,0.053,0.008,22.2,0.034
cream of asparagus soup,4.6,8.2,21.5,1.0,0.091,5.5,0.0,1.8,1.6,58.0,0.009
cream of celery soup,3.3,11.2,17.7,1.5,0.042,0.5,0.0,0.3,1.3,80.6,0.051
cream of chicken soup,6.0,14.5,18.0,0.0,0.1,0.3,0.0,0.7,2.7,35.3,0.084
cream of mushroom soup,3.4,13.4,17.1,1.8,0.057,0.0,0.071,0.3,0.5,30.2,0.093
cream of onion soup,6.7,12.8,31.7,1.2,0.08,3.1,0.0,0.4,1.5,82.4,0.095
cream of potato soup,3.8,4.7,32.2,3.3,0.087,0.5,0.0,0.4,0.9,42.8,0.05
cream of rice coup,2.2,0.2,28.1,0.2,0.0,0.0,0.0,0.4,0.5,7.3,0.008
cream of shrimp soup,5.6,10.4,16.5,0.5,0.026,0.0,0.0,1.5,1.1,35.3,0.024
cream of tartar,0.0,0.0,1.8,0.01,0.0,0.0,0.0,0.054,0.1,0.2,0.031
cream soda,0.0,0.0,65.7,0.0,0.0,0.0,0.0,0.3,0.2,24.7,0.0
creamy ranch sauce mcdonalds,0.3,14.7,1.0,0.0,0.0,0.0,0.0,0.071,0.039,8.2,0.0
crimini mushrooms,0.2,0.018,0.3,0.064,0.0,0.001,0.0,0.038,0.098,0.0,26.9
crisped rice bar,1.4,3.8,20.4,0.6,0.0,0.0,0.0,0.2,1.8,5.9,0.02
crispy brown rice,2.3,1.1,27.5,2.3,0.0,0.0,0.0,0.5,0.4,9.0,0.034
crispy chicken breast kentucky fried chicken,38.2,6.7,0.4,0.0,0.061,0.0,0.0,1.2,0.7,28.0,0.042
crispy chicken drumstick kentucky fried chicken,10.6,3.0,0.0,0.0,0.025,0.0,0.0,1.0,0.4,6.6,0.015
crispy chicken sandwich,14.8,17.6,33.2,0.0,0.0,0.0,0.0,0.7,1.9,46.6,0.0
crispy chicken strips kentucky fried chicken,9.5,7.2,6.4,0.7,0.0,0.0,0.0,0.3,0.3,11.8,0.067
crispy chicken strips tyson,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crispy chicken thigh kentucky fried chicken,20.4,9.1,0.0,0.0,0.078,0.0,0.0,1.7,0.9,19.1,0.04
crispy chicken wing kentucky fried chicken,12.6,5.3,1.3,0.0,0.019,0.0,0.0,0.8,0.4,13.2,0.033
croissant with egg cheese,12.8,24.7,24.3,0.0,0.0,0.1,0.0,1.8,2.2,243.8,0.065
crookneck squash canned,1.3,0.1,6.2,2.9,0.0,5.7,0.0,0.6,1.5,25.2,0.026
crookneck squash cooked,1.9,0.7,6.8,2.0,0.0,20.9,0.0,0.4,0.7,39.6,0.059
crookneck squash raw,1.3,0.3,4.9,1.3,0.0,24.5,0.0,0.4,0.6,26.7,0.094
croutons,1.0,0.5,5.9,0.4,0.0,0.0,0.0,0.093,0.3,6.1,0.026
croutons seasoned,4.3,7.3,25.4,2.0,0.029,0.0,0.0,0.4,1.1,38.4,0.012
cucumber,1.0,0.2,5.4,0.8,0.0,4.2,0.0,0.3,0.4,24.0,0.082
cucumber peeled,0.8,0.2,2.9,0.9,0.0,0.082,4.3,0.027,0.018,0.052,180.9
cumin seeds,0.4,0.5,0.9,0.2,0.0,0.2,0.0,0.1,1.4,19.6,0.072
cupu assu oil,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cured beef dried,0.9,0.019,0.06,0.0,0.0,0.0,0.0,0.1,0.004,0.2,0.01
curry powder,0.8,0.9,3.7,2.1,0.0,0.05,0.7,0.052,0.034,0.094,97.2
cusk cooked,23.1,0.8,0.0,0.0,0.016,0.0,0.0,0.5,1.0,12.4,0.012
cusk raw,23.2,0.8,0.0,0.0,0.038,0.0,0.0,0.5,1.0,12.2,0.01
cuttlefish cooked,9.2,0.4,0.5,0.0,0.05,2.4,0.0,1.0,3.1,50.9,0.037
cuttlefish raw,4.6,0.2,0.2,0.0,0.048,1.5,0.0,0.5,1.7,25.5,0.083
daiquiri,0.035,0.036,4.2,0.001,0.0,1.0,0.0,0.091,0.033,1.8,0.04
dandelion greens cooked,2.1,0.6,6.7,3.0,0.0,18.9,0.0,0.3,1.9,147.0,0.004
dandelion greens raw,1.5,0.4,5.1,1.9,0.0,19.3,0.0,0.2,1.7,102.9,0.086
danish pastry with cheese,5.8,24.6,28.7,0.0,0.057,2.6,0.0,0.6,1.8,70.1,0.015
danish pastry with cinnamon,4.8,16.7,46.9,0.0,0.058,2.6,0.0,0.5,1.8,37.0,0.028
danish pastry with fruit,4.8,15.9,45.1,0.0,0.043,1.6,0.0,0.5,1.4,21.6,0.052
danish pastry with nuts,4.6,16.4,29.7,1.3,0.054,1.1,0.0,0.6,1.2,61.1,0.062
danone low fat alsafi,0.0,1.7,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dar vida swiss original,0.0,3.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dark chocolate,1.5,9.7,18.0,2.2,0.074,0.064,0.0,0.033,0.3,0.087,170.4
dessert wine dry,1.0,0.0,58.4,76.5,362.7,0.0,0.0,0.066,0.2,0.0,460.0
dessert wine sweet,0.2,0.0,14.1,0.0,0.0,0.0,0.0,0.074,0.2,8.2,0.06
dill pickled cucumber,0.9,0.2,3.7,1.6,0.0,1.1,0.0,0.2,0.5,60.1,0.025
dill seeds,1.1,1.0,3.6,1.4,0.0,1.4,0.0,0.3,1.1,100.1,0.075
dill weed dried,20.0,4.4,55.8,13.6,0.0,1.7,50.0,0.0,0.5,0.0,3308.0
dill weed fresh,0.3,0.063,0.6,0.2,0.0,0.003,7.6,0.0,0.09,0.0,65.7
dinner roll,2.4,1.8,12.9,1.1,0.0,0.0,0.0,0.3,1.0,49.3,0.097
dinner roll whole wheat,2.4,1.3,14.3,2.1,0.0,0.0,0.0,0.6,0.7,29.7,0.091
dock,2.7,0.9,4.3,3.9,0.0,0.2,63.8,0.067,0.2,0.0,518.7
dolphinfish cooked,37.7,1.4,0.0,0.0,0.046,0.0,0.0,0.9,2.3,30.2,0.057
dolphinfish raw,37.7,1.4,0.0,0.0,0.1,0.0,0.0,0.9,2.3,30.6,0.006
donut,2.3,10.3,22.9,0.7,0.062,0.027,0.0,0.2,0.5,27.0,0.001
donut with cream filling,5.4,20.8,25.5,0.7,0.043,0.0,0.0,0.7,1.6,21.3,0.017
donut with jelly filling,5.0,15.9,33.2,0.8,0.044,0.0,0.0,0.6,1.5,21.3,0.009
double cheeseburger,37.0,36.9,41.0,2.1,1.6,0.5,6.6,0.017,0.2,0.054,515.3
double hamburger,52.1,58.6,51.4,5.2,1.5,0.4,0.7,0.026,0.4,0.094,718.1
double whopper burger king,52.1,58.6,51.4,5.2,0.0,0.7,0.0,11.2,10.5,130.9,0.082
double whopper with cheese burger king,57.7,68.1,53.9,6.4,0.0,0.8,0.0,14.0,21.1,311.2,0.075
dried tomatoes,0.3,0.053,1.1,0.2,0.0,0.8,0.0,0.085,0.2,2.2,0.061
dried tomatoes canned in oil,0.2,0.4,0.7,0.2,0.0,3.1,0.0,0.038,0.057,1.4,0.063
drum cooked,34.6,9.7,0.0,0.0,0.099,1.5,0.0,1.3,1.8,118.6,0.076
drum raw,34.7,9.8,0.0,0.0,0.1,2.0,0.0,1.3,1.8,118.8,0.071
drumstick leaves cooked,2.2,0.4,4.7,0.8,0.0,13.0,0.0,0.2,1.0,63.4,0.042
drumstick leaves raw,2.0,0.3,1.7,0.4,0.0,10.9,0.0,0.1,0.8,38.9,0.084
drumstick pods cooked,2.5,0.2,9.7,5.0,0.0,114.5,0.0,0.5,0.5,23.6,0.028
drumstick pods raw,2.1,0.2,8.5,3.2,0.0,141.0,0.0,0.5,0.4,30.0,0.073
duck egg,9.0,9.6,1.0,0.0,0.1,0.0,0.026,1.0,2.7,44.8,0.058
duck fat,0.0,5.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.041
duck liver raw,8.2,2.0,1.6,0.0,5.3,2.0,0.0,1.4,13.4,4.8,0.069
duck meat cooked,26.6,39.7,0.0,0.0,0.008,0.0,0.067,2.6,3.8,15.4,0.092
duck meat raw,145.7,498.8,0.0,0.0,0.6,35.5,0.088,17.2,30.4,139.5,0.2
duck sauce,0.1,0.063,19.7,0.2,0.0,0.3,0.0,0.1,0.1,3.6,0.029
dulce de leche,1.3,1.4,10.5,0.0,0.094,0.5,0.04,0.2,0.001,47.7,0.058
dungeness crab cooked,28.3,1.6,1.2,0.0,0.06,4.6,0.0,6.9,0.5,74.9,0.032
dungeness crab raw,28.4,1.6,1.2,0.0,0.026,5.7,0.0,7.0,0.6,75.0,0.022
durian,0.5,1.9,9.5,1.3,0.0,0.1,6.9,0.0,0.094,0.0,152.6
dutch apple pie,3.0,15.8,61.0,2.2,0.008,7.8,0.0,0.3,1.2,19.2,0.038
eastern oyster canned,11.4,4.0,6.3,0.0,0.1,8.1,0.0,147.3,10.9,72.9,0.078
eastern oyster cooked,0.7,0.2,0.7,0.0,0.09,0.6,0.0,4.4,0.8,5.5,0.011
eastern oyster fried,1.3,1.8,1.7,0.0,0.0,0.6,0.0,12.7,1.0,9.1,0.092
eastern oyster raw,0.7,0.2,0.8,0.0,0.069,0.7,0.0,5.3,0.8,6.2,0.065
eclair,4.4,19.2,11.2,0.4,0.2,0.2,0.04,0.4,0.9,31.5,0.091
edam cheese,7.5,8.3,0.4,0.0,0.03,0.0,0.055,1.1,0.1,219.3,0.028
edamame cooked,18.5,8.1,13.8,8.1,0.053,0.2,9.5,0.0,0.5,0.041,675.8
eel cooked,6.7,4.2,0.0,0.0,0.3,0.5,0.0,0.6,0.2,7.4,0.01
eel raw,37.6,23.8,0.0,0.0,2.1,3.7,0.01,3.3,1.0,40.8,0.011
egg bagel,2.8,0.5,13.8,0.6,0.012,0.2,0.0,0.2,1.0,3.4,0.088
egg boiled,7.5,6.4,0.7,0.0,0.04,0.0,0.019,0.6,0.7,30.0,0.062
egg bread,3.8,2.4,19.1,0.9,0.095,0.0,0.087,0.3,1.2,37.2,0.077
egg bread toasted,3.9,2.4,19.5,0.9,0.096,0.0,0.001,0.3,1.2,37.7,0.046
egg cheese sandwich,15.6,19.4,25.9,0.0,0.2,1.5,0.0,1.6,3.0,224.8,0.067
egg custard,14.2,12.9,31.0,0.0,0.1,0.0,0.0,1.5,1.0,301.7,0.016
egg dinner roll,3.3,2.2,18.2,1.3,0.051,0.0,0.0,0.4,1.2,20.7,0.066
egg dried,2.4,2.2,0.047,0.0,0.044,0.0,0.027,0.2,0.2,11.8,0.017
egg drop soup,2.8,1.5,10.3,1.0,0.002,15.7,0.08,0.2,0.6,16.9,0.028
egg fried,6.3,6.8,0.4,0.0,0.016,0.0,0.081,0.6,0.9,28.5,0.078
egg large,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg mcmuffin mcdonalds,17.2,12.2,27.3,1.4,0.1,0.2,1.5,0.0,0.1,0.0,218.0
egg mix,2.4,2.2,0.098,0.0,0.078,0.034,0.0,0.043,0.055,0.078,27.0
egg noodles cooked,3.6,1.7,20.1,1.0,0.007,0.029,0.0,0.066,0.051,0.0,30.4
egg noodles dry,5.4,1.7,27.1,1.3,0.086,0.0,0.083,0.7,0.7,13.3,0.016
egg raw,7.0,5.3,0.4,0.0,0.066,0.0,0.038,0.7,1.0,31.4,0.023
egg substitute,24.0,0.0,4.8,0.0,0.0,1.2,0.006,2.4,4.8,175.2,0.017
egg substitute powder,15.7,3.7,6.2,0.0,0.1,0.2,0.0,0.5,0.9,92.3,0.032
egg white delight mcdonalds,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg white dried,5.8,0.087,0.3,0.0,0.0,0.0,0.0,0.0,0.028,6.2,0.012
egg white raw,3.6,0.063,0.2,0.0,0.0,0.0,0.0,0.001,0.045,2.3,0.017
egg yolk dried,1.3,2.3,0.054,0.0,0.01,0.0,0.065,0.3,0.4,12.3,0.098
egg yolk raw,2.7,4.5,0.6,0.0,0.009,0.0,0.078,0.4,0.5,21.9,0.039
eggnog,11.6,10.6,20.4,0.0,0.1,3.8,0.055,1.2,0.5,330.2,0.094
eggplant cooked,0.8,0.2,8.1,2.5,0.0,1.3,0.0,0.1,0.2,5.9,0.0
eggplant raw,4.5,0.8,26.9,13.7,0.0,10.1,0.0,0.7,1.1,41.2,0.074
eisbonbons mac iver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elderberries,1.0,0.7,26.7,10.2,0.0,52.2,0.0,0.2,2.3,55.1,0.097
emu drums cooked,134.7,8.4,0.0,0.0,0.084,0.0,0.0,21.2,30.2,25.0,0.2
emu fillet cooked,123.2,9.1,0.0,0.0,0.0,0.0,0.0,12.6,18.0,23.6,0.2
enchilada with cheese,15.4,25.3,21.2,2.6,0.7,0.2,0.8,0.03,0.2,0.0,191.8
enchilada with cheese beef,11.9,17.6,30.5,0.0,0.016,1.3,0.0,2.7,3.1,228.5,0.092
enchirito with cheese beef beans,17.9,16.1,33.8,0.0,0.074,4.6,0.0,2.8,2.4,218.1,0.016
endive,0.6,0.1,1.7,1.6,0.0,3.3,0.0,0.4,0.4,26.0,0.085
energy drink red bull,1.2,0.0,26.4,0.0,0.0,5.6,0.0,0.072,0.049,0.0,7.7
energy drink sugar free red bull,0.6,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.023,32.5,0.067
english muffin,5.0,1.1,25.5,2.6,0.0,0.0,0.0,0.6,1.6,101.5,0.018
english muffin mcdonalds,5.7,2.3,2.9,0.2,0.3,0.0,0.3,0.0,13.1,0.08,0.5
